Index;Personenverkehr_2020;Gueterverkehr_2020;Personenverkehr_2025;Gueterverkehr_2025;Personenverkehr_2030;Gueterverkehr_2030;Personenverkehr_2035;Gueterverkehr_2035;Personenverkehr_2040;Gueterverkehr_2040;Personenverkehr_2045;Gueterverkehr_2045;Personenverkehr_2020_abs;Gueterverkehr_2020_abs;Personenverkehr_2025_abs;Gueterverkehr_2025_abs;Personenverkehr_2030_abs;Gueterverkehr_2030_abs;Personenverkehr_2035_abs;Gueterverkehr_2035_abs;Personenverkehr_2040_abs;Gueterverkehr_2040_abs;Personenverkehr_2045_abs;Gueterverkehr_2045_abs
PKW Verbrenner;0,932;;0,921;;0,911;;0,790;;0,670;;0,264;;3381200,648;;3219295,174;;3060230,738;;2085408,956;;1284405,089;;273898,1028;
PKW Verbrenner CNG;0,010;;0,005;;0,000;;0,000;;0,000;;0,000;;35927,75186;;17300,52309;;0;;0;;0;;0;
PKW - Batterie;0,001;;0,013;;0,025;;0,108;;0,190;;0,527;;2088,237678;;44415,14341;;83490,26008;;284005,8097;;365138,3744;;547742,2604;
PKW - Wasserstoff;0,000;;0,000;;0,000;;0,000;;0,000;;0,000;;0;;0;;0;;0;;0;;0;
Busse - Verbrenner;0,024;;0,024;;0,023;;0,035;;0,046;;0,034;;86800,24085;;82278,22387;;77857,1823;;91451,77981;;88483,85171;;35361,12258;
Busse - Batterie;0,000;;0,001;;0,002;;0,011;;0,019;;0,057;;721,2387162;;4649,603791;;8274,676379;;28541,71577;;36761,40699;;59537,59312;
Schiene - Verbrenner;0,022;0,032;0,023;0,033;0,024;0,035;0,033;0,034;0,043;0,033;0,039;0,018;80761,96322;48773,26245;80739,4869;53677,18474;80490,03387;58815,95487;87988,44154;60487,35138;81947,30308;62038,80556;40405,00506;33896,83532
Schiene - Batterie;0,011;0,012;0,013;0,015;0,015;0,017;0,023;0,018;0,032;0,020;0,079;0,028;40380,98161;19294,91701;45235,98247;23693,82474;49604,3232;28413,62486;61436,93649;32487,70585;60984,0395;36814,23626;81772,03405;53930,46422
Schiene - Wasserstoff;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0;0;0;0;0;0;0;0;0;0;0;0
LKW - Verbrenner;;0,956;;0,852;;0,748;;0,640;;0,531;;0,413;;1475908,017;;1379232,963;;1266941,905;0;1137587,997;;989938,3701;;797247,7364
LKW - Batterie;;0,000;;0,100;;0,201;;0,308;;0,416;;0,541;;0;;162429,5827;;339919,4281;0;548027,8212;;774299,4258;;1044599,082
LKW - Wasserstoff;;0,000;;0,000;;0,000;;0,000;;0,000;;0,000;;0;;0;;0;0;0;;0;;0
Summe;3,627881061;1,543976197;3,493914138;1,619033555;3,359947214;1,694090913;2,638833639;1,778590875;1,917720065;1,863090838;1,038716118;1,929674118;;;;;;;;;;;;
Summe in MWh;;;;;;;;;;;;;3627881,061;1543976,197;3493914,138;1619033,555;3359947,214;1694090,913;2638833,639;1778590,875;1917720,065;1863090,838;1038716,118;1929674,118
